Company,Time,const,stock-rf,SMB1,HML1
0,2015-02-28,1.0,0.0456572647163056,0.041457861896325054,-0.04523269210663228
1,2015-03-31,1.0,0.16388011203127428,0.0998734109562156,-0.04066056623534253
2,2015-04-30,1.0,0.1884013316977915,0.023833692944305707,-0.005559893203677557
3,2015-05-31,1.0,0.10537672653545038,0.231697766735236,-0.13439029919077272
4,2015-06-30,1.0,-0.08117382855948863,-0.05592434979894578,0.10459369761779747
5,2015-07-31,1.0,-0.1422811930010518,-0.0011444219159075786,0.008874790065790839
6,2015-08-31,1.0,-0.15216488093890235,0.0069537062098168345,-0.002162803421393522
7,2015-09-30,1.0,-0.04960691994536304,0.01523757233190004,-0.03085230316248022
8,2015-10-31,1.0,0.14709998194789886,0.10630564645338181,-0.07882622098283576
9,2015-11-30,1.0,0.05834148311490717,0.11704403331471158,-0.03384610174885605
10,2015-12-31,1.0,0.04123655791940517,0.058979419234534536,-0.03231240783697409
11,2016-01-31,1.0,-0.2543234233600966,-0.07854326666377687,0.07002908232587446
12,2016-02-29,1.0,-0.02372359621418063,0.0032935064755306165,0.008609596884410431
13,2016-03-31,1.0,0.1496131961136431,0.06493473416756546,-0.049291020574528166
14,2016-04-30,1.0,-0.021853102753819464,0.030409538236747524,-0.0010934425660260594
15,2016-05-31,1.0,-0.00014693918715114052,-0.024029005475730614,0.004554491344324063
16,2016-06-30,1.0,0.03233173006627932,0.050399871310845334,-0.010963485349173796
17,2016-07-31,1.0,0.008423249115885545,-0.028337169327174228,0.03796852484728497
18,2016-08-31,1.0,0.050785583528568656,0.022427253089492893,0.006985437336057609
19,2016-09-30,1.0,-0.020105107430919422,0.025098049680321477,-0.0032604905433230025
20,2016-10-31,1.0,0.033670470450449796,0.021731540240770952,0.009258284556882046
21,2016-11-30,1.0,0.04803105692937559,-0.0009630319564291057,0.019504176659856487
22,2016-12-31,1.0,-0.05221997221313979,0.010716541800961599,0.015557463538168559
23,2017-01-31,1.0,0.005004106369457695,-0.04183457619635378,0.03277781980932226
24,2017-02-28,1.0,0.036807628703231066,0.01870600133871614,-0.008921663862088258
25,2017-03-31,1.0,-0.001056961524717459,-0.016357525071548085,0.01655839702468387
26,2017-04-30,1.0,-0.025788458069261555,-0.05093834903475358,0.04261185963657166
27,2017-05-31,1.0,-0.019893764892604082,-0.06479450892797078,0.05699036569778415
28,2017-06-30,1.0,0.04064901724617154,-0.00921902799127483,-0.015859028087488514
29,2017-07-31,1.0,0.025106678968940255,-0.04020508705237702,0.03980263043143317
30,2017-08-31,1.0,0.03428040345335637,0.008049142973152845,-0.010915264039879968
31,2017-09-30,1.0,0.008255676403392309,0.0021513585543213587,-0.034273331370445415
32,2017-10-31,1.0,0.01540386861286036,-0.04986918285319153,-0.003628414483112463
33,2017-11-30,1.0,-0.028001144712196058,-0.05573579460104616,0.02482195341879967
34,2017-12-31,1.0,0.0028704990333738856,-0.026875565759836295,-0.0019392423976728468
35,2018-01-31,1.0,0.041683498914882655,-0.0705731730742547,0.07115407900910387
36,2018-02-28,1.0,-0.0373929059058955,-0.0005000481961535685,-0.018200682029079762
37,2018-03-31,1.0,-0.011063714764957822,0.06883735777994726,-0.061320154911585156
38,2018-04-30,1.0,-0.03308638499972805,-0.003607524991529054,0.014870757232183784
39,2018-05-31,1.0,0.0022481447155506817,-0.015240888760171267,0.004210906953322491
40,2018-06-30,1.0,-0.07662861847456881,-0.035594717794787956,0.035325871264147324
41,2018-07-31,1.0,0.010484837735714736,-0.01921113844861999,0.028229847675613318
42,2018-08-31,1.0,-0.061037462351802185,-0.026600520756162593,0.0167994140015979
43,2018-09-30,1.0,0.023466873187303117,-0.04049491564440566,0.01634169611519365
44,2018-10-31,1.0,-0.0820881392151338,-0.003897061266281421,0.06271001766936135
45,2018-11-30,1.0,0.009617378329831228,0.06077027758034914,-0.05027446140318481
46,2018-12-31,1.0,-0.042813063328581924,0.006643466670661846,0.010566617723788863
47,2019-01-31,1.0,0.032009923104098004,-0.06758407034607983,0.014627121696975776
48,2019-02-28,1.0,0.15804244544692692,0.06849875870693412,-0.07053597863255678
49,2019-03-31,1.0,0.06294392239908153,0.048176953050592,-0.04279491685224901
50,2019-04-30,1.0,-0.01231625974820827,-0.038637683981395665,0.004437752679828266
51,2019-05-31,1.0,-0.05768829958578381,0.027545004855298094,0.008612859542370677
52,2019-06-30,1.0,0.035817141230875205,-0.03560415188925237,-0.002531330170040813
53,2019-07-31,1.0,0.015431669916367685,-0.020944173261332577,-0.004479794239608537
54,2019-08-31,1.0,-0.0018128314305574378,0.002826425656464293,-0.047971222970878524
55,2019-09-30,1.0,0.009635700363982869,0.008403894888141306,0.001400450019645616
56,2019-10-31,1.0,0.014073771402111301,-0.021263550881631454,-0.009854258074515565
57,2019-11-30,1.0,-0.018051279057938352,-0.012116427860525691,-0.0005744526683419959
58,2019-12-31,1.0,0.07003986723282418,0.014638846226924906,-0.01072941870836941
59,2020-01-31,1.0,0.0005701313777810579,0.02783943466242378,-0.026756988629963452
60,2020-02-29,1.0,-0.0033060498905684854,0.023130212580970477,-0.03625961638454245
61,2020-03-31,1.0,-0.05725824744307051,0.016053249057593755,0.008817785063978567
62,2020-04-30,1.0,0.048349948029372536,-0.024859981571827783,-0.027530460485547747
63,2020-05-31,1.0,0.008908191840414803,0.026413257747888386,-0.014820166289473913
64,2020-06-30,1.0,0.08290305490964878,0.010768146730910644,-0.04137681147758887
65,2020-07-31,1.0,0.16768576194094265,0.0006156023073051742,-0.034573667676539355
66,2020-08-31,1.0,0.03444479252836263,0.01487465422331491,-0.016182541890892854
67,2020-09-30,1.0,-0.04678569501413854,-0.018648984555531323,0.009075596293481869
68,2020-10-31,1.0,0.01965040617450331,-0.006950066442752867,-0.013556130436412683
69,2020-11-30,1.0,0.048666883549353335,-0.03443121025320317,0.03743105977761618
70,2020-12-31,1.0,0.028649269850227643,-0.05240922310178164,-0.04692364761136392
